time,oni,dmi
1979-01-01,0.36517731410848325,0.0
1979-02-01,-0.15313329752788932,0.0
1979-03-01,0.17218078435418782,0.0
1979-04-01,-0.020384928787170634,0.0
1979-05-01,-0.07864303622654936,0.0
1979-06-01,-0.05196965994215143,0.0
1979-07-01,-0.16501931360554495,0.0
1979-08-01,-0.15910220473393838,0.0
1979-09-01,-0.3230966118366584,0.0
1979-10-01,-0.1461552350333893,0.0
1979-11-01,-0.06626949336433464,0.0
1979-12-01,0.10687771919756016,0.0
1980-01-01,-0.06869745711934735,0.0
1980-02-01,-0.027320622757051,0.0
1980-03-01,-0.054952214584746674,0.0
1980-04-01,0.04225264717590671,0.0
1980-05-01,0.34223981709648715,0.0
1980-06-01,-0.17612995181484403,0.0
1980-07-01,0.013583529834652733,0.0
1980-08-01,-0.021273335356148185,0.0
1980-09-01,0.0892311695372954,0.0
1980-10-01,0.21297830554300112,0.0
1980-11-01,0.03209300228958154,0.0
1980-12-01,-0.3460338259843938,0.0
1981-01-01,-0.20449353759748123,0.0
1981-02-01,-0.18554502222393576,0.0
1981-03-01,-0.04839513742635638,0.0
1981-04-01,-0.1369277013397927,0.0
1981-05-01,0.36738795907757377,0.0
1981-06-01,0.367797478609583,0.0
1981-07-01,0.16299118687973457,0.0
1981-08-01,-0.015295792986046426,0.0
1981-09-01,0.053757919712585825,0.0
1981-10-01,0.09462181361793487,0.0
1981-11-01,-0.20925921010510595,0.0
1981-12-01,-0.252566324847395,0.0
1982-01-01,-0.09673446364305198,0.0
1982-02-01,0.24544570025247514,0.0
1982-03-01,-0.23046269869449232,0.0
1982-04-01,0.09888695226547309,0.0
1982-05-01,0.15807743240504513,0.0
1982-06-01,-0.028790095642819265,0.0
1982-07-01,-0.0036035060109735964,0.0
1982-08-01,0.5721213425160457,0.0
1982-09-01,1.2057520489327533,0.0
1982-10-01,1.6580370290904625,0.0
1982-11-01,1.9139798072839274,0.0
1982-12-01,1.8060167052994767,0.0
1983-01-01,2.5965747724534314,0.0
1983-02-01,2.2486817744990173,0.0
1983-03-01,1.4773484710400984,0.0
1983-04-01,1.4137535722197654,0.0
1983-05-01,0.9853859232905121,0.0
1983-06-01,0.8230774074246381,0.0
1983-07-01,0.34403110204537946,0.0
1983-08-01,0.19127714800550438,0.0
1983-09-01,0.05093175417168087,0.0
1983-10-01,-0.17806363243989903,0.0
1983-11-01,-0.12802283284916,0.0
1983-12-01,-0.2815396151016829,0.0
1984-01-01,-0.1929901362167823,0.0
1984-02-01,0.28687414526507826,0.0
1984-03-01,-0.11717558948104219,0.0
1984-04-01,-0.015650093186900204,0.0
1984-05-01,0.07044424226201536,0.0
1984-06-01,0.06079433461426053,0.0
1984-07-01,0.35216901041579174,0.0
1984-08-01,-0.022652795272702884,0.0
1984-09-01,-0.09223614641334116,0.0
1984-10-01,0.030416230167490135,0.0
1984-11-01,0.046561896208539746,0.0
1984-12-01,-0.0886599182345621,0.0
1985-01-01,-0.008320510235588994,0.0
1985-02-01,-0.12250981234620806,0.0
1985-03-01,0.04118807719612593,0.0
1985-04-01,0.21869491478843328,0.0
1985-05-01,-0.32768635071923824,0.0
1985-06-01,-0.1408390189936625,0.0
1985-07-01,-0.23266234287693563,0.0
1985-08-01,-0.18873089616993935,0.0
1985-09-01,0.1750392940643242,0.0
1985-10-01,-0.13427988534924495,0.0
1985-11-01,-0.058310546846828216,0.0
1985-12-01,0.12816407046322906,0.0
1986-01-01,-0.32836132311698724,0.0
1986-02-01,-0.12097349459484562,0.0
1986-03-01,0.0740816772188319,0.0
1986-04-01,0.21999413974606885,0.0
1986-05-01,-0.022696794235228333,0.0
1986-06-01,0.13238401623350676,0.0
